내용	긍부정
아이와 가기에는 유모차 필수! 엄청 넓다 사진 찍을곳이 많고 저녁에는 조금 무서워해서 날이 선선해지면 오전에도 가보고 싶다	1
야간 밤도깨비 체험했는데 악기를 찾으며 구석 구석 돌아다니며 구경하고 야경이 예뻐 사진도 많이 찍었네요~	1
야간개장 예쁘고 시원해서 좋았는데 조명이 없는 구역은 좀 무서웠어요.	1
아이와 함께하기 좋아요 부지가 넓어서 여름엔 힘드네요 관람할게 많고 주차장 넓어요	1
부여에 볼거리 가볼만한 곳이 생각보다 많네요 그 중 백제문화단지는 압도적이네요 규모가 어마어마하네요 날씨가 너~~~~무 더워 지치긴 했지만 그럼에도 여기저기 다 보고 왔어요 중간중간 쉴수있는 공간도 있어 좋네요 시원한 계절에 오면 넘 좋겠다는 생각이 드네요 땀 범벅이었지만 눈은 즐거웠어요	1
한 여름 밤의 백제궁 힐링 콘서트 보고 왔어요~ 무더운 여름이지만 저녁에 살랑이는 바람 느끼며 힐링도 하고 너무 좋아요~ 이런 공연 자주 있었으면 좋겠어요♡ 고궁을 보며 즐기는 맥주로 갬성도 더하니 부러울게 없어요~	1
수륙양용버스와 같은 특이한 체험도 할수있고 대체로 한산하고 잘꾸며진 문화단지라 부여여행이 만족 스러웠어요!!	1
더위가 풀리면 꼭 재방문을...!	1
공연도 너무 좋았고 야경도 좋았습니다.	1
8월16일 광복절 연휴기간이자 평일이기도 하죠. 더워서인지, 사람들은 손 꼽힐 정도였고. 역사 문화지여서 기대한 방문이었지만 아쉬운점이 많아요. 입장료는 다둥이 할인 50%, 전기어차는 4명에 2대여야 한다고 18000원씩 36000원, 지어진 건축물들외엔 체험이나 구경거리는거의 없었어요, 봄,가을이라면 경치를 구경하며 여유를 즐겼을테지만, 땡볕을 걷는건 금방 후회가 들더라구요. 해설안내도 아이들에게 흥미를 불러일으키기에는 아쉬웠구요. 야경을 보려고 오후4시에 갔는데, 해설안내를 들으려면 정양문 안쪽에 모이게되어 입장 처리가 되었고, 역사문화관은 오후6시까지였기에 정양문을 나왔다고 재입장이 안되더라구요. 결국 야경은 보지 못했어요.ㅠ 역사문화관 먼저 방문하고 이후 정양문을 통과하시기를 추천드려요.	0
뷰가 너무좋았어요 날씨가너무더워서 정말 너무너무 땀이 그냥미친듯흘렀지만 ㅜㅜ 뷰가 너무 좋아서 나중에는더운게문제가안되더라구요... 내가수님 보러 간 여행이었는데 뜻밖의 국악무대 덕분에 국악에 매료된 값진 시간이었습니다	1
케이시와 이진성님 보러 갔는데 넘넘 즐거웠습니다. 야경도 너무 이쁘고, 최고입니다.	1
케이시님 너무 이뻤어욤ㅎㅎ	1
야경이 미쳤습니다.	1
야간에 갈만합니다. 아이들이 도깨비 찾는 거 재밌어해요. 9월 선선해질 때 가면 더 좋을 듯요.	1
더위를 피해 일부러 야간개장에 갔다. 조명을 받아 건물들은 더욱 운치가 있었고 특히 전기궁차(?)를 타고 휘휘 도니까 시원하고 다리도 안 아파서 넓디 넓은 문화단지를 둘러 보려면 적극 추천한다. 무슨 기차같은 것도 있던데 자율성은 없지만 설명을 해 주시니 둘 중 선택해서 이용하면 좋을 듯 하다.	1
두번째방문인데 너무좋아요아이들이 재미있어했어요 저녁이라 너무이쁘네요	1
백제궁과 계백장군, 귀족 집터까지 다양한 문화체험을 해서 좋아요^^	1
낮에 찾았다가 야경이 멋있다기에 밤시간 또 찾아 멋진 야경에 흠뻑 빠진 날.너무 늦은 시간이다보니 훤히밝힌 사비궁만 보고온것 같아 아쉬웠어요. 뒷쪽으로도 볼것이 많았는데..	1
여름이라 야간 개장을 이용했어요 바람이 없어서 덥긴 했는데 가길 잘했어요 잘 구경하고 갑니다~굿	1
부여 간김에 급 검색해서 갔는데 생각보다 괜찮아서 늦게까지 돌아보다 왔어요~	1
진짜 재밌었어요 ㅋㅋ 추천합니다	1
날씨가 더웠지만 전기어차 타고 다니기 좋았어요. 궁도체험, 물총놀이, 비누방울 등 체험이 많아 아이들 놀거리도 많아 즐거운 시간 보내고왔어요. 하루는 부족하고 1박2일 하면 부여 이곳저곳 다닐 수 있어 좋을 것 같아요	1
아이들과 잘 다녀왔어요^^	1
더운날이었지만 해가지니 시원한 바람솔솔불고 야경이 멋졌어요 아이들체험할거리도 있고 재방문의사 있습니다	1
야경 끝내주고 무료체험 많아서 아이들과 재있게놈 땡볕이라 야간개장때 갔는데 낮이었음 힘들뻔	1
좋아요<	1
더운 여름, 야경으로 구경할 수 있어서 좋았어요! 다음에는 가을에 가서 낮에도 구경하고싶어요! 기차도 한번쯤 설명듣고 좋아요	1
야간이라 제한된것이 꽤 있었고 너무 더워서 좀 선선해지고 가면 좋겠네요	1
야경이 멋져요 낮에도 밤에도 예뻐요 날씨 선선해지면 다시 가볼꺼예요	1
생각한것보다 너무너무 이쁘고 볼거리도 많고 넓어서.. 진짜 만족도 높았어요~ 경주 안압지와는 또다른느낌. 백제의 전성기시절을 제대로 느끼고갑니다. 부모님.남편 너무좋아해서 뿌듯했고 낮에도 다시 와보고싶어요	1
야간 주간 모두 좋아요	1
규모가 정말 크고 볼 게 넘 많네요 더운 여름에 가서 가족들이 넘 힘들어서 오래 보진 못했지만 다음에 또 오고 싶어요 선선한 봄이나 가을에 오면 좋을 거 같아요 마을 안에 잉어 먹이주기 체험이 있어서 아이들이 재미있게 즐기다가 왔어요	1
야간이 더 볼만한 듯. 넓어서 도보로는 전체 관람 쉽지 않을 수 있으니 전기자전거 이용 권함.	1
ㅎㅎ	1
혈촌꺠알재미~근데너무덥다	1
부여오면 항상 들립니다5번 정도 들린거 같아요 웅장하고 볼거리도 많고 좋은곳입니다	1
역사 좋아해서 왔어요. 여름엔 너무 더워서 야간입장 완전 추천합니다!!! 넘 좋았어요	1
정말~~~~아름다워요 감탄하면서 돌아다녔어요 다음에 여행와서 또 방문할거예요 자전거 타고 달리면서  구경한 순간이 가장 즐거웠고 다양한 프로그램이 많아요 혈촌이란 담력체험도 강추하고요 상어 잉어 먹이주기도 있고 암튼 가보세용~!	1
뜨거운 더운 날씨보다는 시원할때가면 구경하기 너무좋을것 같아요	1
평일이라 한가하게 둘러볼수 있어서 좋았습니다. 관리가 잘 되어있고 곳곳에 무료 체험등이 있어서 아이들이 좋아할것 같아요. 전기 자전거 (유료) 대여해서 편하게 돌아다니며 구경했어요	1
ㄱ	1
더운여름에 방문해서 전기차(?) 대여해서 다녔더니 아주 시원하게 잘 다녀왔어요! 잘 꾸며져있고 날 시원하면 산책하기도 좋을것 같아요.	1
야경도 너무 멋있고 사진도 잘나와서 구경하기 좋습니다~ 너무예뻐요	1
낮엔 너무 더워서 일부러 7시쯤 도착하게 갔는데 그래도 너무 더웠어요 야간개장 들어가실때 준비물로 얼음물, 손풍기 또는 부채 필수요 유모차 타는 아이가 있어서 전기어차를 탈까말까 했는데 꼭 타세요 사비로 열차는 시간이 정해져 있고 사진에 있는 빨간 코스로만 돌고 끝인데 전기어차는 30분 또는 1시간 단위로 결제할 수 있고 궁 안에서 타고 원하는 장소로 이동하며 관람 가능해요 참고로 전기어차는 수량이 한정적이고 늦게라도 가서 빌리려고 하니 퇴근하셔야 해서 대여가 안됐어요ㅠㅠ 저녁 8시 이전에는 가서 빌려야하나 봅니다 도깨비이벤트 하실거면 참여하는 인원만 밤도깨비패키지 하시고 나머지는 입장권만 구매하시면 됩니다 밤도깨비 스탬프투어 재밌긴한데 5살한테는 어렵고 더워서 걷기 힘들고..제가 투어했어요	1
야간권으로 들어가서낮 일몰 밤의 풍경 모두 보고 왔어요ㅎㅎ어좌도 앉아보고 북도 쳐보고 전망대도 가고 전기어차(유료)도 탔어요 유령의 집? 혈촌행사도 하던데 재미있을 것 같아요ㅋㅋ	1
부모님이랑 야간개장 입장권 예매 후 방문했어요 도착하자마자 너무 아름다워서 놀랐습니다 그리고 굉장히 규모가 컸어요 공포체험도 하고 있었는데 저랑 부모님은 안했습니덩 친구들이나 아이들이랑 오신 분들은 하면 좋을 것 같아요 야간개장에 불이 다 들어와있으니까 아름답고 사진도 정말 잘나오더라구요 여기눈 부여오시면 꼭 들리세요!!	1
사비로열차타고 야간개장 들어갔는데요 전기자전거가 훨씬 효율적인것같아요 더우니까 야간개장 추천합니다	1
어린이와 다녀오기에 재밌었습니다. 여름에 갔던터라 도깨비도 재밌었구 다음엔 역사를 더 알고오면 재미날것 같아요.	1
낮과는 또다른 느낌이네요 엄청 멋지네요ㅎㅎ 밤도깨비하면서 다니니 구석구석 다닐수 있어서 좋네요	1
더운여름 야간 구경하기 좋아요~~	1
백제역사 공부 많이 했어요	1
야간개장이 좋아요 낮엔 해 쨍쨍해서 못다닐거 같아요	1
혈촌 시즌 4에 다녀왔어요! 무시무시 하네요..ㅠㅠㅠㅠㅠ상품도 받았습니닿ㅎ	1
굿	1
한낮도 좋지만 해질녘 야간투어도 추천합니다 바이크 대여해서 다니는거 강추 합니다 아이도 좋아하고 훨씬 편하게 다닐수 있어요	1
